"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"15","ClearResponsibilities","~~","ClearResponsibilities","0.193","0.020","0.000","[0.153, 0.233]","0.193***","0.286","0.034","0.000","[0.220, 0.352]","0.286***","Variances.ClearResponsibilities"
"16","EffectiveAnswers","~~","EffectiveAnswers","0.228","0.023","0.000","[0.184, 0.273]","0.228***","0.336","0.037","0.000","[0.264, 0.408]","0.336***","Variances.EffectiveAnswers"
"17","Feedback","~~","Feedback","0.364","0.033","0.000","[0.299, 0.429]","0.364***","0.475","0.044","0.000","[0.389, 0.561]","0.475***","Variances.Feedback"
"18","ClearOrganization","~~","ClearOrganization","0.466","0.044","0.000","[0.381, 0.552]","0.466***","0.405","0.040","0.000","[0.326, 0.484]","0.405***","Variances.ClearOrganization"
"19","ClearPresentation","~~","ClearPresentation","0.246","0.026","0.000","[0.195, 0.297]","0.246***","0.293","0.034","0.000","[0.225, 0.360]","0.293***","Variances.ClearPresentation"
"20","InclusvClassrm","~~","InclusvClassrm","0.234","0.023","0.000","[0.189, 0.279]","0.234***","0.507","0.049","0.000","[0.411, 0.604]","0.507***","Variances.InclusvClassrm"
"21","EquitableEval","~~","EquitableEval","0.195","0.019","0.000","[0.158, 0.232]","0.195***","0.485","0.048","0.000","[0.391, 0.580]","0.485***","Variances.EquitableEval"
"22","MultPerspectives","~~","MultPerspectives","0.206","0.026","0.000","[0.155, 0.257]","0.206***","0.297","0.041","0.000","[0.217, 0.376]","0.297***","Variances.MultPerspectives"
"23","DEIintegration","~~","DEIintegration","0.362","0.034","0.000","[0.294, 0.429]","0.362***","0.662","0.054","0.000","[0.555, 0.768]","0.662***","Variances.DEIintegration"
"24","CTR","~~","CTR","0.241","0.019","0.000","[0.203, 0.279]","0.241***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.CTR"
"25","TradPed","~~","TradPed","0.482","0.054","0.000","[0.376, 0.587]","0.482***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.TradPed"
"26","SRPed","~~","SRPed","0.228","0.035","0.000","[0.160, 0.296]","0.228***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.SRPed"
"27","CENTERING","~1","","0.406","0.028","0.000","[0.352, 0.461]","0.406***","0.828","0.066","0.000","[0.699, 0.956]","0.828***","Means.CENTERING"
"28","ClearResponsibilities","~1","","4.439","0.047","0.000","[4.347, 4.531]","4.439***","5.405","0.225","0.000","[4.964, 5.846]","5.405***","Means.ClearResponsibilities"
"29","EffectiveAnswers","~1","","4.365","0.047","0.000","[4.273, 4.457]","4.365***","5.297","0.221","0.000","[4.865, 5.730]","5.297***","Means.EffectiveAnswers"
"30","Feedback","~1","","4.236","0.050","0.000","[4.138, 4.334]","4.236***","4.835","0.204","0.000","[4.435, 5.235]","4.835***","Means.Feedback"
"31","ClearOrganization","~1","","4.006","0.061","0.000","[3.887, 4.126]","4.006***","3.732","0.161","0.000","[3.418, 4.047]","3.732***","Means.ClearOrganization"
"32","ClearPresentation","~1","","4.236","0.052","0.000","[4.134, 4.338]","4.236***","4.620","0.194","0.000","[4.239, 5.001]","4.620***","Means.ClearPresentation"
"33","InclusvClassrm","~1","","4.613","0.039","0.000","[4.537, 4.690]","4.613***","6.788","0.282","0.000","[6.235, 7.340]","6.788***","Means.InclusvClassrm"
"34","EquitableEval","~1","","4.572","0.036","0.000","[4.502, 4.643]","4.572***","7.216","0.297","0.000","[6.634, 7.798]","7.216***","Means.EquitableEval"
"35","MultPerspectives","~1","","4.391","0.048","0.000","[4.297, 4.484]","4.391***","5.265","0.220","0.000","[4.834, 5.697]","5.265***","Means.MultPerspectives"
"36","DEIintegration","~1","","4.512","0.044","0.000","[4.426, 4.598]","4.512***","6.105","0.270","0.000","[5.575, 6.634]","6.105***","Means.DEIintegration"
"37","CTR","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Means.CTR"
"38","TradPed","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Means.TradPed"
"39","SRPed","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Means.SRPed"
