"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"25","p1V","~~","p1V",0.267757851956369,0.0431944379481306,6.1988965402884,0.000000000568603830686243,0.183098309245583,0.352417394667155,0.267757851956369,0.683785901028899,0.683785901028899
"26","p2V","~~","p2V",0.105361584148764,0.0355282393389863,2.96557291070564,0.00302119722733507,0.0357275146102318,0.174995653687296,0.105361584148764,0.145201245117414,0.145201245117414
"27","p3V","~~","p3V",0.225646891150104,0.0475696814073362,4.74350225762295,0.00000210054601557097,0.13241202883568,0.318881753464527,0.225646891150104,0.273543506263537,0.273543506263537
"28","CTR","~~","CTR",0.232851013621403,0.035929620418209,6.48075350953041,0.0000000000912656616947061,0.162430251623519,0.303271775619288,1,1,1
"29","TrP","~~","TrP",0.4779725617847,0.0899140675080173,5.31588187512572,0.000000106141993416742,0.301744227765483,0.654200895803916,1,1,1
"30","SRP","~~","SRP",0.246959818973974,0.0466761300172648,5.29092319527406,0.000000121700469479791,0.155476285202426,0.338443352745522,1,1,1
"31","Val","~~","Val",0.123823564907406,0.045854407503737,2.70036342520213,0.00692637686056252,0.0339505776676579,0.213696552147153,1,1,1
"32","CEN","~1","",0.369047903543878,0.0526501270324255,7.00943994525584,0.00000000000239275266267214,0.265855550778865,0.472240256308891,0.369047903543878,0.764792598306572,0.764792598306572
"33","p1T","~1","",4.3214288849147,0.0827543159258143,52.2199819618916,0,4.15923340613486,4.48362436369455,4.3214288849147,5.69766714555292,5.69766714555292
"34","p2T","~1","",4.19642939247775,0.0854401874420968,49.1154048008343,0,4.02896970225889,4.36388908269661,4.19642939247775,5.35893000650807,5.35893000650807
"35","p3T","~1","",4.47770525570202,0.0951064024181771,47.0810076067626,0,4.29130013226322,4.66411037914082,4.47770525570202,5.15172898794776,5.15172898794776
"36","p1S","~1","",4.6369050221285,0.057925694592515,80.0491915504398,0,4.52337274694771,4.7504372973093,4.6369050221285,8.73408284698637,8.73408284698637
"37","p2S","~1","",4.41055366266061,0.0758225096018265,58.169449756044,0,4.26194427462359,4.55916305069764,4.41055366266061,6.36693500319679,6.36693500319679
"38","p3S","~1","",4.35954037264159,0.0991110558778625,43.9864184073872,0,4.16528627265124,4.55379447263194,4.35954037264159,5.02874448441553,5.02874448441553
"39","p1V","~1","",4.46428548748796,0.0682765225641442,65.3853670314545,0,4.3304659622726,4.59810501270332,4.46428548748796,7.13412842246493,7.13412842246493
"40","p2V","~1","",4.19047623281618,0.0929429242650061,45.0865546350572,0,4.00831144863893,4.37264101699343,4.19047623281618,4.9193464148945,4.9193464148945
"41","p3V","~1","",3.98630102040549,0.0993041515408818,40.1423400588081,0,3.79166845987005,4.18093358094093,3.98630102040549,4.38903069657403,4.38903069657403
"42","CTR","~1","",0,0,NA,NA,0,0,0,0,0
"43","TrP","~1","",0,0,NA,NA,0,0,0,0,0
"44","SRP","~1","",0,0,NA,NA,0,0,0,0,0
"45","Val","~1","",0,0,NA,NA,0,0,0,0,0
